2025-11-18 21:01:25;SYSTEM;GAME_START;FLIP;Players: 4
2025-11-18 21:01:25;Giocatore 1;DRAW;ReverseCard;TWO
2025-11-18 21:01:25;IA-1;DRAW;NumberedCard;NINE
2025-11-18 21:01:25;IA-2;DRAW;ReverseCard;REVERSE
2025-11-18 21:01:25;IA-3;DRAW;NumberedCard;SEVEN
2025-11-18 21:01:25;Giocatore 1;DRAW;NumberedCard;NINE
2025-11-18 21:01:25;IA-1;DRAW;NumberedCard;FOUR
2025-11-18 21:01:25;IA-2;DRAW;NumberedCard;FOUR
2025-11-18 21:01:25;IA-3;DRAW;NumberedCard;SEVEN
2025-11-18 21:01:25;Giocatore 1;DRAW;FlipCard;NINE
2025-11-18 21:01:25;IA-1;DRAW;NumberedCard;THREE
2025-11-18 21:01:25;IA-2;DRAW;NumberedCard;ONE
2025-11-18 21:01:25;IA-3;DRAW;NumberedCard;SEVEN
2025-11-18 21:01:25;Giocatore 1;DRAW;NumberedCard;NINE
2025-11-18 21:01:25;IA-1;DRAW;NumberedCard;FIVE
2025-11-18 21:01:25;IA-2;DRAW;SkipEveryoneCard;SIX
2025-11-18 21:01:25;IA-3;DRAW;NumberedCard;FIVE
2025-11-18 21:01:25;Giocatore 1;DRAW;NumberedCard;FOUR
2025-11-18 21:01:25;IA-1;DRAW;FlipCard;FOUR
2025-11-18 21:01:25;IA-2;DRAW;ReverseCard;REVERSE
2025-11-18 21:01:25;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:01:25;Giocatore 1;DRAW;NumberedCard;FIVE
2025-11-18 21:01:25;IA-1;DRAW;ReverseCard;EIGHT
2025-11-18 21:01:25;IA-2;DRAW;NumberedCard;THREE
2025-11-18 21:01:25;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:01:25;Giocatore 1;DRAW;SkipCard;SKIP
2025-11-18 21:01:25;IA-1;DRAW;WildDrawColorCard;SIX
2025-11-18 21:01:25;IA-2;DRAW;SkipEveryoneCard;ONE
2025-11-18 21:01:25;IA-3;DRAW;NumberedCard;SIX
2025-11-18 21:01:25;SYSTEM;SETUP_CARD_FLIPPED;NumberedCard;Starting Color: RED
2025-11-18 21:01:31;IA-3;PLAY;NumberedCard;FIVE
2025-11-18 21:01:35;Giocatore 1;PLAY;NumberedCard;NINE
2025-11-18 21:01:38;IA-1;PLAY;NumberedCard;NINE
2025-11-18 21:01:42;IA-2;PLAY;SkipEveryoneCard;SIX
2025-11-18 21:01:45;IA-3;PLAY;NumberedCard;TWO
2025-11-18 21:01:45;Giocatore 1;PLAY;NumberedCard;FOUR
2025-11-18 21:01:48;IA-1;PLAY;NumberedCard;FOUR
2025-11-18 21:01:51;IA-2;PLAY;NumberedCard;FOUR
2025-11-18 21:01:54;IA-3;PLAY;NumberedCard;TWO
2025-11-18 21:01:55;Giocatore 1;PLAY;NumberedCard;FIVE
2025-11-18 21:01:58;IA-1;PLAY;NumberedCard;FIVE
2025-11-18 21:02:01;IA-2;PLAY;SkipEveryoneCard;ONE
2025-11-18 21:02:04;IA-3;PLAY;NumberedCard;SEVEN
2025-11-18 21:02:05;Giocatore 1;DRAW;NumberedCard;THREE
2025-11-18 21:02:07;Giocatore 1;PASS_TURN;N/A;HandSize: 5
2025-11-18 21:02:10;IA-1;PLAY;NumberedCard;THREE
2025-11-18 21:02:13;IA-2;PLAY;NumberedCard;THREE
2025-11-18 21:02:16;IA-3;DRAW;WildDrawColorCard;THREE
2025-11-18 21:02:16;IA-3;PLAY;WildDrawColorCard;THREE
2025-11-18 21:02:17;Giocatore 1;PLAY;ReverseCard;TWO
2025-11-18 21:02:20;IA-1;DRAW;DrawOneCard;DRAW_ONE
2025-11-18 21:02:20;IA-1;PASS_TURN;N/A;HandSize: 4
2025-11-18 21:02:23;IA-2;DRAW;NumberedCard;FIVE
2025-11-18 21:02:23;IA-2;PASS_TURN;N/A;HandSize: 4
2025-11-18 21:02:26;IA-3;PLAY;NumberedCard;SIX
2025-11-18 21:02:28;Giocatore 1;DRAW;SkipCard;SKIP
