2025-11-18 21:15:43;SYSTEM;GAME_START;CLASSIC;Players: 4
2025-11-18 21:15:43;Giocatore 1;DRAW;SkipCard;SKIP
2025-11-18 21:15:43;IA-1;DRAW;NumberedCard;ONE
2025-11-18 21:15:43;IA-2;DRAW;NumberedCard;SIX
2025-11-18 21:15:43;IA-3;DRAW;NumberedCard;ZERO
2025-11-18 21:15:43;Giocatore 1;DRAW;NumberedCard;EIGHT
2025-11-18 21:15:43;IA-1;DRAW;NumberedCard;SEVEN
2025-11-18 21:15:43;IA-2;DRAW;DrawTwoCard;DRAW_TWO
2025-11-18 21:15:43;IA-3;DRAW;NumberedCard;ZERO
2025-11-18 21:15:43;Giocatore 1;DRAW;ReverseCard;REVERSE
2025-11-18 21:15:43;IA-1;DRAW;NumberedCard;FOUR
2025-11-18 21:15:43;IA-2;DRAW;NumberedCard;FIVE
2025-11-18 21:15:43;IA-3;DRAW;WildCard;WILD
2025-11-18 21:15:43;Giocatore 1;DRAW;NumberedCard;TWO
2025-11-18 21:15:43;IA-1;DRAW;NumberedCard;FOUR
2025-11-18 21:15:43;IA-2;DRAW;WildDrawFourCard;WILD_DRAW_FOUR
2025-11-18 21:15:43;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:15:43;Giocatore 1;DRAW;NumberedCard;EIGHT
2025-11-18 21:15:43;IA-1;DRAW;NumberedCard;NINE
2025-11-18 21:15:43;IA-2;DRAW;NumberedCard;SEVEN
2025-11-18 21:15:43;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:15:43;Giocatore 1;DRAW;NumberedCard;NINE
2025-11-18 21:15:43;IA-1;DRAW;NumberedCard;FIVE
2025-11-18 21:15:43;IA-2;DRAW;ReverseCard;REVERSE
2025-11-18 21:15:43;IA-3;DRAW;NumberedCard;SIX
2025-11-18 21:15:43;Giocatore 1;DRAW;NumberedCard;THREE
2025-11-18 21:15:43;IA-1;DRAW;WildDrawFourCard;WILD_DRAW_FOUR
2025-11-18 21:15:43;IA-2;DRAW;ReverseCard;REVERSE
2025-11-18 21:15:43;IA-3;DRAW;NumberedCard;SIX
2025-11-18 21:15:43;SYSTEM;SETUP_CARD_FLIPPED;NumberedCard;Starting Color: RED
2025-11-18 21:15:46;Giocatore 1;PLAY;SkipCard;SKIP
2025-11-18 21:15:49;IA-2;PLAY;DrawTwoCard;DRAW_TWO
2025-11-18 21:15:49;IA-3;DRAW;ReverseCard;REVERSE
2025-11-18 21:15:49;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:15:50;Giocatore 1;DRAW;NumberedCard;FOUR
2025-11-18 21:15:51;Giocatore 1;PASS_TURN;N/A;HandSize: 7
2025-11-18 21:15:54;IA-1;PLAY;WildDrawFourCard;WILD_DRAW_FOUR
2025-11-18 21:15:54;IA-2;DRAW;NumberedCard;FOUR
2025-11-18 21:15:54;IA-2;DRAW;WildCard;WILD
2025-11-18 21:15:54;IA-2;DRAW;NumberedCard;SEVEN
2025-11-18 21:15:54;IA-2;DRAW;NumberedCard;FIVE
2025-11-18 21:15:54;IA-1;SET_COLOR;N/A;GREEN
2025-11-18 21:15:57;IA-3;PLAY;NumberedCard;SIX
