2025-11-18 21:12:50;SYSTEM;GAME_START;CLASSIC;Players: 4
2025-11-18 21:12:50;Giocatore 1;DRAW;NumberedCard;ONE
2025-11-18 21:12:50;IA-1;DRAW;NumberedCard;EIGHT
2025-11-18 21:12:50;IA-2;DRAW;NumberedCard;SEVEN
2025-11-18 21:12:50;IA-3;DRAW;ReverseCard;REVERSE
2025-11-18 21:12:50;Giocatore 1;DRAW;NumberedCard;SIX
2025-11-18 21:12:50;IA-1;DRAW;NumberedCard;SEVEN
2025-11-18 21:12:50;IA-2;DRAW;NumberedCard;THREE
2025-11-18 21:12:50;IA-3;DRAW;ReverseCard;REVERSE
2025-11-18 21:12:50;Giocatore 1;DRAW;NumberedCard;EIGHT
2025-11-18 21:12:50;IA-1;DRAW;NumberedCard;SEVEN
2025-11-18 21:12:50;IA-2;DRAW;NumberedCard;TWO
2025-11-18 21:12:50;IA-3;DRAW;NumberedCard;NINE
2025-11-18 21:12:50;Giocatore 1;DRAW;NumberedCard;TWO
2025-11-18 21:12:50;IA-1;DRAW;NumberedCard;ONE
2025-11-18 21:12:50;IA-2;DRAW;NumberedCard;SEVEN
2025-11-18 21:12:50;IA-3;DRAW;NumberedCard;SIX
2025-11-18 21:12:50;Giocatore 1;DRAW;NumberedCard;EIGHT
2025-11-18 21:12:50;IA-1;DRAW;NumberedCard;SIX
2025-11-18 21:12:50;IA-2;DRAW;NumberedCard;ONE
2025-11-18 21:12:50;IA-3;DRAW;ReverseCard;REVERSE
2025-11-18 21:12:50;Giocatore 1;DRAW;NumberedCard;FOUR
2025-11-18 21:12:50;IA-1;DRAW;NumberedCard;NINE
2025-11-18 21:12:50;IA-2;DRAW;NumberedCard;FIVE
2025-11-18 21:12:50;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:12:50;Giocatore 1;DRAW;NumberedCard;THREE
2025-11-18 21:12:50;IA-1;DRAW;NumberedCard;EIGHT
2025-11-18 21:12:50;IA-2;DRAW;DrawTwoCard;DRAW_TWO
2025-11-18 21:12:50;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:12:50;SYSTEM;SETUP_CARD_FLIPPED;NumberedCard;Starting Color: GREEN
2025-11-18 21:12:55;IA-1;PLAY;NumberedCard;EIGHT
2025-11-18 21:12:58;IA-2;PLAY;NumberedCard;SEVEN
2025-11-18 21:13:01;IA-3;PLAY;ReverseCard;REVERSE
2025-11-18 21:13:04;IA-2;PLAY;NumberedCard;FIVE
2025-11-18 21:13:07;IA-1;DRAW;NumberedCard;ONE
2025-11-18 21:13:07;IA-1;PASS_TURN;N/A;HandSize: 7
2025-11-18 21:13:13;Giocatore 1;PLAY;NumberedCard;EIGHT
2025-11-18 21:13:16;IA-3;PLAY;NumberedCard;SIX
2025-11-18 21:13:19;IA-2;DRAW;NumberedCard;TWO
2025-11-18 21:13:19;IA-2;PASS_TURN;N/A;HandSize: 6
2025-11-18 21:13:22;IA-1;PLAY;NumberedCard;SIX
2025-11-18 21:13:23;Giocatore 1;PLAY;NumberedCard;FOUR
2025-11-18 21:13:26;IA-3;PLAY;NumberedCard;NINE
2025-11-18 21:13:29;IA-2;PLAY;NumberedCard;THREE
2025-11-18 21:13:32;IA-1;PLAY;NumberedCard;NINE
