2025-11-18 21:02:35;SYSTEM;GAME_START;FLIP;Players: 4
2025-11-18 21:02:35;Giocatore 1;DRAW;FlipCard;FLIP
2025-11-18 21:02:35;IA-1;DRAW;NumberedCard;EIGHT
2025-11-18 21:02:35;IA-2;DRAW;FlipCard;ONE
2025-11-18 21:02:35;IA-3;DRAW;NumberedCard;FIVE
2025-11-18 21:02:35;Giocatore 1;DRAW;SkipEveryoneCard;ONE
2025-11-18 21:02:35;IA-1;DRAW;NumberedCard;EIGHT
2025-11-18 21:02:35;IA-2;DRAW;NumberedCard;SEVEN
2025-11-18 21:02:35;IA-3;DRAW;WildCard;WILD
2025-11-18 21:02:35;Giocatore 1;DRAW;WildDrawColorCard;THREE
2025-11-18 21:02:35;IA-1;DRAW;NumberedCard;TWO
2025-11-18 21:02:35;IA-2;DRAW;NumberedCard;FOUR
2025-11-18 21:02:35;IA-3;DRAW;NumberedCard;NINE
2025-11-18 21:02:35;Giocatore 1;DRAW;NumberedCard;EIGHT
2025-11-18 21:02:35;IA-1;DRAW;ReverseCard;REVERSE
2025-11-18 21:02:35;IA-2;DRAW;ReverseCard;REVERSE
2025-11-18 21:02:35;IA-3;DRAW;FlipCard;FOUR
2025-11-18 21:02:35;Giocatore 1;DRAW;ReverseCard;EIGHT
2025-11-18 21:02:35;IA-1;DRAW;WildDrawTwoCard;WILD_DRAW_TWO
2025-11-18 21:02:35;IA-2;DRAW;SkipCard;SKIP
2025-11-18 21:02:35;IA-3;DRAW;NumberedCard;SEVEN
2025-11-18 21:02:35;Giocatore 1;DRAW;FlipCard;NINE
2025-11-18 21:02:35;IA-1;DRAW;NumberedCard;FIVE
2025-11-18 21:02:35;IA-2;DRAW;NumberedCard;FOUR
2025-11-18 21:02:35;IA-3;DRAW;NumberedCard;NINE
2025-11-18 21:02:35;Giocatore 1;DRAW;SkipCard;SKIP
2025-11-18 21:02:35;IA-1;DRAW;NumberedCard;FOUR
2025-11-18 21:02:35;IA-2;DRAW;SkipEveryoneCard;TWO
2025-11-18 21:02:35;IA-3;DRAW;NumberedCard;TWO
2025-11-18 21:02:35;SYSTEM;SETUP_CARD_SKIPPED;SkipCard;Drawn and discarded: C: GREEN SKIP / S: ORANGE NINE
2025-11-18 21:02:35;SYSTEM;SETUP_CARD_FLIPPED;NumberedCard;Starting Color: YELLOW
2025-11-18 21:02:39;IA-2;PLAY;SkipEveryoneCard;TWO
2025-11-18 21:02:42;IA-3;PLAY;WildCard;WILD
2025-11-18 21:02:42;IA-3;SET_COLOR;N/A;GREEN
2025-11-18 21:02:46;Giocatore 1;PLAY;NumberedCard;EIGHT
2025-11-18 21:02:49;IA-1;PLAY;NumberedCard;EIGHT
2025-11-18 21:02:52;IA-2;DRAW;ReverseCard;SIX
2025-11-18 21:02:52;IA-2;PASS_TURN;N/A;HandSize: 7
2025-11-18 21:02:55;IA-3;PLAY;NumberedCard;SEVEN
2025-11-18 21:02:56;Giocatore 1;PLAY;FlipCard;FLIP
2025-11-18 21:02:59;IA-1;PLAY;ReverseCard;SEVEN
2025-11-18 21:03:02;IA-2;PLAY;NumberedCard;EIGHT
2025-11-18 21:03:05;IA-3;PLAY;NumberedCard;NINE
2025-11-18 21:03:06;Giocatore 1;PLAY;SkipEveryoneCard;SKIP_EVERYONE
2025-11-18 21:03:09;IA-1;DRAW;WildCard;FLIP
2025-11-18 21:03:09;IA-1;PLAY;WildCard;FLIP
2025-11-18 21:03:12;IA-3;DRAW;SkipEveryoneCard;SEVEN
2025-11-18 21:03:12;IA-3;PASS_TURN;N/A;HandSize: 5
