2025-11-18 20:57:18;SYSTEM;GAME_START;CLASSIC;Players: 4
2025-11-18 20:57:18;Giocatore 1;DRAW;NumberedCard;HandSize: 1
2025-11-18 20:57:18;IA-1;DRAW;DrawTwoCard;HandSize: 1
2025-11-18 20:57:18;IA-2;DRAW;NumberedCard;HandSize: 1
2025-11-18 20:57:18;IA-3;DRAW;NumberedCard;HandSize: 1
2025-11-18 20:57:18;Giocatore 1;DRAW;WildCard;HandSize: 2
2025-11-18 20:57:18;IA-1;DRAW;NumberedCard;HandSize: 2
2025-11-18 20:57:18;IA-2;DRAW;NumberedCard;HandSize: 2
2025-11-18 20:57:18;IA-3;DRAW;NumberedCard;HandSize: 2
2025-11-18 20:57:18;Giocatore 1;DRAW;NumberedCard;HandSize: 3
2025-11-18 20:57:18;IA-1;DRAW;NumberedCard;HandSize: 3
2025-11-18 20:57:18;IA-2;DRAW;NumberedCard;HandSize: 3
2025-11-18 20:57:18;IA-3;DRAW;NumberedCard;HandSize: 3
2025-11-18 20:57:18;Giocatore 1;DRAW;DrawTwoCard;HandSize: 4
2025-11-18 20:57:18;IA-1;DRAW;NumberedCard;HandSize: 4
2025-11-18 20:57:18;IA-2;DRAW;NumberedCard;HandSize: 4
2025-11-18 20:57:18;IA-3;DRAW;SkipCard;HandSize: 4
2025-11-18 20:57:18;Giocatore 1;DRAW;NumberedCard;HandSize: 5
2025-11-18 20:57:18;IA-1;DRAW;NumberedCard;HandSize: 5
2025-11-18 20:57:18;IA-2;DRAW;SkipCard;HandSize: 5
2025-11-18 20:57:18;IA-3;DRAW;NumberedCard;HandSize: 5
2025-11-18 20:57:18;Giocatore 1;DRAW;ReverseCard;HandSize: 6
2025-11-18 20:57:18;IA-1;DRAW;NumberedCard;HandSize: 6
2025-11-18 20:57:18;IA-2;DRAW;NumberedCard;HandSize: 6
2025-11-18 20:57:18;IA-3;DRAW;NumberedCard;HandSize: 6
2025-11-18 20:57:18;Giocatore 1;DRAW;NumberedCard;HandSize: 7
2025-11-18 20:57:18;IA-1;DRAW;ReverseCard;HandSize: 7
2025-11-18 20:57:18;IA-2;DRAW;WildDrawFourCard;HandSize: 7
2025-11-18 20:57:18;IA-3;DRAW;NumberedCard;HandSize: 7
2025-11-18 20:57:18;SYSTEM;SETUP_CARD_FLIPPED;NumberedCard;Starting Color: YELLOW
2025-11-18 20:57:25;IA-1;DRAW;NumberedCard;HandSize: 8
2025-11-18 20:57:25;IA-1;PLAY;NumberedCard;EIGHT
2025-11-18 20:57:28;IA-2;PLAY;NumberedCard;NINE
2025-11-18 20:57:31;IA-3;PLAY;NumberedCard;TWO
